證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"6674","鋐寶科技","12000","268300","22.70","22.70","22.20","22.30","-0.1000","12"
"6689","伊雲谷","47876","5207199","106.50","110.50","106.50","108.50","0.0000","54"
"6691","洋基工程","24208","3854650","159.50","160.50","158.00","159.50","0.5000","30"
"6698","旭暉應材","27069","744387","27.40","27.90","27.25","27.40","0.0000","29"
"6706","惠特","393933","32230639","81.00","82.90","80.70","81.00","-0.5000","459"
"6715","嘉基","209360","25880640","129.00","129.00","121.00","123.50","-4.5000","157"
"6719","力智","1616272","397469034","244.00","251.50","241.50","241.50","-5.0000","1561"
"6743","安普新","66607","2045231","30.30","31.15","30.30","30.60","0.2000","60"
"6754","匯僑設計","36218","1625382","44.95","44.95","44.65","44.85","-0.0500","31"
"6756","威鋒電子","244126","41798802","171.50","174.00","169.00","170.00","-2.0000","258"
"6768","志強-KY","1024332","80784434","76.60","80.40","76.60","78.10","1.5000","827"
"6770","力積電","14074373","422805029","30.00","30.30","29.80","29.90","0.0000","6374"
"6776","展碁國際","22385","811877","36.25","36.35","36.20","36.30","-0.1500","33"
"6781","AES-KY","1322699","834099805","621.00","640.00","617.00","631.00","10.0000","1354"
"6789","采鈺","1382200","249819896","179.50","185.50","176.50","176.50","-2.0000","1349"
"6790","永豐實","53435","1852535","34.70","34.75","34.60","34.65","-0.0500","79"
"6792","詠業","82659","5596618","68.90","68.90","66.30","67.20","-1.0000","102"
"6796","晉弘","84722","6543467","78.20","79.50","75.70","75.80","-2.4000","126"
"6799","來頡","203814","19613853","95.00","98.00","93.60","94.30","-1.6000","215"
"6806","森崴能源","767278","48687209","63.30","64.60","62.50","62.80","0.5000","673"
"6807","峰源-KY","40","1000","","","","","0.0000","4"
"6830","汎銓","66692","6099159","92.30","93.50","90.30","91.10","-1.4000","79"
"6834","天二科技","37000","847950","22.90","23.00","22.85","22.90","0.0000","30"
"6854","錼創科技-KY創","28000","2267700","81.80","82.00","79.70","81.70","-0.1000","25"
"8011","台通","214776","3066745","14.40","14.45","14.10","14.15","-0.0500","190"
"8016","矽創","1468633","261104692","178.50","181.00","175.00","176.50","-3.5000","3398"
"8021","尖點","209869","5330223","25.45","25.65","25.15","25.25","-0.1000","143"
"8028","昇陽半導體","13784819","705539833","50.70","51.80","50.40","51.60","1.7000","7814"
"8033","雷虎","1238157","21802796","17.60","17.95","17.35","17.40","-0.4500","561"
